1621442935.628873 client started (61478): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1621442935.628925 on Darwin 20.3.0 Darwin Kernel Version 20.3.0: Thu Jan 21 00:07:06 PST 2021; root:xnu-7195.81.3~1/RELEASE_X86_64
1621442935.628951 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1621442935.634061 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.634069 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.634076 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.634084 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.634092 sending message 112 to peer 0x7f9cf8048000 (6 bytes)
1621442935.634099 sending message 112 to peer 0x7f9cf8048000 (13 bytes)
1621442935.634107 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.634116 sending message 112 to peer 0x7f9cf8048000 (15 bytes)
1621442935.634124 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.634132 sending message 112 to peer 0x7f9cf8048000 (70 bytes)
1621442935.634138 sending message 112 to peer 0x7f9cf8048000 (69 bytes)
1621442935.634146 sending message 112 to peer 0x7f9cf8048000 (34 bytes)
1621442935.634154 sending message 112 to peer 0x7f9cf8048000 (34 bytes)
1621442935.634161 sending message 112 to peer 0x7f9cf8048000 (12 bytes)
1621442935.634169 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.634177 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.634184 sending message 112 to peer 0x7f9cf8048000 (15 bytes)
1621442935.634192 sending message 112 to peer 0x7f9cf8048000 (11 bytes)
1621442935.634200 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.634206 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.634214 sending message 112 to peer 0x7f9cf8048000 (10 bytes)
1621442935.634221 sending message 112 to peer 0x7f9cf8048000 (5 bytes)
1621442935.634229 sending message 112 to peer 0x7f9cf8048000 (9 bytes)
1621442935.634237 sending message 112 to peer 0x7f9cf8048000 (15 bytes)
1621442935.634257 sending message 104 to peer 0x7f9cf8048000 (0 bytes)
1621442935.634267 sending message 110 to peer 0x7f9cf8048000 (0 bytes)
1621442935.634276 sending message 107 to peer 0x7f9cf8048000 (4 bytes)
1621442935.634284 sending message 105 to peer 0x7f9cf8048000 (20 bytes)
1621442935.634290 sending message 105 to peer 0x7f9cf8048000 (38 bytes)
1621442935.634299 sending message 105 to peer 0x7f9cf8048000 (19 bytes)
1621442935.634309 sending message 105 to peer 0x7f9cf8048000 (67 bytes)
1621442935.634317 sending message 105 to peer 0x7f9cf8048000 (17 bytes)
1621442935.634326 sending message 105 to peer 0x7f9cf8048000 (66 bytes)
1621442935.634334 sending message 105 to peer 0x7f9cf8048000 (15 bytes)
1621442935.634341 sending message 105 to peer 0x7f9cf8048000 (17 bytes)
1621442935.634350 sending message 105 to peer 0x7f9cf8048000 (42 bytes)
