

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
138.697  000.220  000.220: require('plenary.window')
138.966  000.232  000.232: require('plenary.popup.utils')
138.975  001.437  000.554: require('plenary.popup')
139.277  000.301  000.301: require('telescope.pickers.scroller')
139.548  000.268  000.268: require('telescope.actions.state')
139.862  000.312  000.312: require('telescope.actions.utils')
140.749  000.440  000.440: require('telescope.actions.mt')
140.812  000.948  000.508: require('telescope.actions.set')
141.720  000.501  000.501: require('telescope.config.resolve')
141.724  000.910  000.409: require('telescope.pickers.entry_display')
142.000  000.275  000.275: require('telescope.from_entry')
142.914  012.587  002.129: require('telescope.actions')
143.531  000.280  000.280: require('telescope._extensions')
143.535  000.619  000.338: require('telescope')
144.106  000.272  000.272: require('telescope.previewers.previewer')
145.303  001.194  001.194: require('telescope.previewers.term_previewer')
147.110  000.266  000.266: require('plenary.context_manager')
147.586  000.237  000.237: require('nvim-treesitter.statusline')
147.917  000.328  000.328: require('nvim-treesitter.query_predicates')
147.921  000.806  000.241: require('nvim-treesitter')
147.925  001.482  000.409: require('telescope.previewers.utils')
148.800  000.873  000.873: require('plenary.scandir')
150.046  004.737  002.382: require('telescope.previewers.buffer_previewer')
150.056  006.507  000.304: require('telescope.previewers')
152.324  000.577  000.577: require('fzf_lib')
152.330  001.071  000.494: require('telescope._extensions.fzf')
152.337  022.183  001.400: require('config-telescope')
153.181  000.311  000.311: require('nvim-autopairs.ts-conds')
153.185  000.527  000.216: require('nvim-autopairs.rules.ts_basic')
153.614  000.427  000.427: require('vim.treesitter.highlighter')
154.125  001.786  000.831: require('config-autopairs')
154.508  000.216  000.216: require('nvim-tree.config')
156.977  000.607  000.607: require('nvim-tree.notify')
156.984  000.883  000.277: require('nvim-tree.events')
157.831  000.282  000.282: require('nvim-tree.log')
158.565  000.253  000.253: require('nvim-tree.iterators.node-iterator')
158.608  000.773  000.520: require('nvim-tree.utils')
158.927  000.318  000.318: require('nvim-tree.git.utils')
159.270  000.340  000.340: require('nvim-tree.git.runner')
159.656  000.383  000.383: require('nvim-tree.watcher')
159.949  000.289  000.289: require('nvim-tree.explorer.node')
159.955  002.730  000.345: require('nvim-tree.git')
160.220  000.263  000.263: require('nvim-tree.explorer.watch')
160.737  000.247  000.247: require('nvim-tree.explorer.node-builders')
161.051  000.311  000.311: require('nvim-tree.explorer.sorters')
161.343  000.289  000.289: require('nvim-tree.explorer.filters')
162.215  000.553  000.553: require('nvim-tree.view')
162.220  000.875  000.322: require('nvim-tree.live-filter')
162.223  002.000  000.278: require('nvim-tree.explorer.explore')
162.563  000.338  000.338: require('nvim-tree.explorer.reload')
162.567  005.581  000.250: require('nvim-tree.explorer')
162.570  006.708  000.243: require('nvim-tree.core')
162.903  000.331  000.331: require('nvim-tree.diagnostics')
163.351  000.215  000.215: require('nvim-tree.modified')
163.355  000.449  000.234: require('nvim-tree.renderer.components.modified')
163.645  000.289  000.289: require('nvim-tree.renderer.components.padding')
163.897  000.249  000.249: require('nvim-tree.renderer.components.icons')
164.179  000.279  000.279: require('nvim-tree.renderer.components.full-name')
164.437  000.256  000.256: require('nvim-tree.renderer.help')
164.747  000.307  000.307: require('nvim-tree.renderer.components.git')
165.176  000.426  000.426: require('nvim-tree.renderer.builder')
165.436  000.257  000.257: require('nvim-tree.marks')
165.442  009.879  000.329: require('nvim-tree.renderer')
165.683  000.237  000.237: require('nvim-tree.actions.tree-modifiers.collapse-all')
165.900  000.214  000.214: require('nvim-tree.actions.root.dir-up')
166.164  000.261  000.261: require('nvim-tree.actions.root.change-dir')
166.408  000.242  000.242: require('nvim-tree.actions.reloaders.reloaders')
166.703  000.255  000.255: require('nvim-tree.actions.finders.find-file')
166.706  011.481  000.393: require('nvim-tree.lib')
166.989  000.281  000.281: require('nvim-tree.colors')
167.238  000.245  000.245: require('nvim-tree.legacy')
168.306  000.240  000.240: require('nvim-tree.actions.tree.open')
168.538  000.229  000.229: require('nvim-tree.actions.tree.toggle')
168.774  000.231  000.231: require('nvim-tree.actions.tree.find-file')
169.023  000.246  000.246: require('nvim-tree.actions.finders.search-node')
169.295  000.269  000.269: require('nvim-tree.actions.tree-modifiers.expand-all')
169.510  000.212  000.212: require('nvim-tree.actions.tree-modifiers.toggles')
169.775  000.261  000.261: require('nvim-tree.actions.fs.create-file')
170.063  000.285  000.285: require('nvim-tree.actions.fs.remove-file')
170.337  000.271  000.271: require('nvim-tree.actions.fs.trash')
170.602  000.263  000.263: require('nvim-tree.actions.fs.rename-file')
170.969  000.363  000.363: require('nvim-tree.actions.fs.copy-paste')
171.230  000.254  000.254: require('nvim-tree.actions.node.file-popup')
171.435  000.202  000.202: require('nvim-tree.actions.node.run-command')
171.674  000.236  000.236: require('nvim-tree.actions.node.system-open')
171.904  000.227  000.227: require('nvim-tree.actions.moves.sibling')
172.130  000.223  000.223: require('nvim-tree.actions.moves.parent')
172.354  000.220  000.220: require('nvim-tree.actions.moves.item')
172.583  000.223  000.223: require('nvim-tree.marks.bulk-move')
173.214  000.381  000.381: require('nvim-tree.actions.node.open-file')
173.218  000.632  000.251: require('nvim-tree.marks.navigation')
173.512  000.292  000.292: require('nvim-tree.keymap')
173.516  005.790  000.410: require('nvim-tree.api')
173.527  006.285  000.495: require('nvim-tree.keymap-legacy')
173.546  019.032  000.740: require('nvim-tree')
174.924  000.242  000.242: require('nvim-tree.actions')
175.263  021.135  001.645: require('nvimTree')
177.023  000.335  000.335: require('which-key.util')
177.027  000.633  000.298: require('which-key.tree')
177.350  000.321  000.321: require('which-key.config')
177.356  001.636  000.682: require('which-key.keys')
177.362  001.960  000.324: require('which-key')
177.627  002.361  000.402: require('whichkey')
177.909  000.279  000.279: require('lspkind')
178.278  000.251  000.251: require('nest')
179.451  164.711  005.747: sourcing /Users/andrew/.config/nvim/init.lua
179.491  005.554: sourcing vimrc file(s)
